Episode Number,Episode Title,Air Date,Short Summary,Long Summary,Characters,Fruits
Episode 194,I Have Come Here! The Weaving of the Poneglyphs,6-Jun-04,"Robin deciphers the Poneglyphs on the Golden Bell and realizes how to find the Rio Poneglyph. She also discovers that Gol D. Roger left a message written in the same language as the Poneglyph. Gan Fall informs her that Roger could hear the voice of all things but not actually read the letters, and he had once visited Skypiea. The grateful Shandia offer a broken golden pillar from the Belfry as an attempt to repay them. Soon afterwards, the Straw Hat Pirates find a sizable amount of gold in Nola's stomach and begin to leave Skypiea, after mistaking the cloth covered pillar for a giant cannon.","We see the aftermath of the party——people resting being exhausted after partying for four days. Luffy is running around trying not to wake people looking for his Crew. He finds Nami, wakes her up and asks her to wake the others so they can steal the gold and run. They get into a silly argument which ends up waking most of the sleeping Sky People. Afterwards, Luffy proceeds to tell them his plan.
In the morning, a Shandorian reports to the Shandorian Chief that they have found the Golden Bell and that it is hanging on to Giant Jack, but it might not hold. He asks for help from every able-bodied warrior to go to the western shore to pull the bell up from the sky ocean. The Shandorians try to pull up the bell but are initially unsuccessful. Skypieans then arrive to help and manage to pull up the bell.
Meanwhile Usopp is initiating trade with the Sky People, offering them rubber bands and metal sheets in exchange for dials. His trade went well, and he is excited to use the dials he obtained to enhance Nami's Clima-Tact and his weapon. Zoro is training by cutting stone while waiting for the others. Luffy, Sanji, Chopper and Nami are inside Nola, retrieving the treasure inside its belly. Robin is wandering outside, investigating the Shandia ruins.
After the Golden Bell is recovered, the Sky People prop it up and discover that one of its columns has broken off. They see the Poneglyph at its base and wonder what the ancient writings say. The Shandorian Chief says that being an ancient text, it is impossible for them to read it. Robin appears and proceeds to read the writings out loud for the Sky People to hear. She tells them that the Poneglyph mentions Poseidon, an ancient weapon named after a god and that it gives its whereabouts. She is disappointed as this was not what she wanted to find.
As she is walking away, a Shandorian points out ancient writing engraved on the side of the bell which she missed. She reads the writing as ""Gol D. Roger"" which shocks her. It continues to say ""I made it here and I will guide this passage all the way to the farthest ends of the earth. The stormiest seas will not stop me. - Pirate Gol D. Roger."" She surmises that the Pirate King came to the Sky Island but is confused as to the meaning of those words. She wonders how he was able to understand and use the ancient language. Gan Fall tells Robin that he met Roger when he came to Sky Island over twenty years ago.
Robin tells the Shandorian Chief that the duty of the Poneglyph that the Shandorians have been protecting for centuries has been fulfilled since Roger has already taken the text of the Poneglyph here to the island where the ""real Poneglyph"" may be located. The Shandorian Chief is moved to tears since this means their duty has also already been fulfilled, that they don't have to fight any longer and that the war is finally over. Robin states that she too must carry on fulfilling her duty to take the text on Poneglyphs she has read all the way to Laugh Tale.
Gan Fall tells Robin that Luffy reminds him of Roger and that he finds him very interesting. Robin agrees and says that she finds him interesting as well. The Shandorian Chief, grateful for the Straw Hats help, wants to give them gold by offering the Belfry's broken column. The Sky People wrap up the column to carry to the Straw Hats.
Meanwhile, the Straw Hats are growing impatient waiting for Robin. As she approaches the crew, they see the wrapped up broken golden column and mistake it for a huge cannon and make a run for it. The Sky People give chase trying to give them their gift.","Nola, Monkey D. Luffy, Nami, Usopp, Tony Tony Chopper, Sanji, Nico Robin, Roronoa Zoro, Shandia Chief, Braham, Genbo, Kamakiri, Gan Fall, Crocodile (flashback), Gol D. Roger (image), Pierre",
Episode 195,"Now Heading Towards the Blue Sea!!
Memories of an Interwoven Finale",13-Jun-04,"The Straw Hat Pirates are heading to Cloud End with the help of Pagaya and Conis. As they descend the free fall, Conis calls an Octopus Balloon to have them safely land in the Blue Sea. The Golden Bell rings as the Straw Hat Pirates are going down to the sea, meaning that they are welcome in Skypiea any time, and that the Skypieans are deeply thankful for what they did. When the ship finally rests on the sea, problems appear, as the ship has landed in a Marine base.","The Straw Hats (minus Nami who is already at the ship) are seen running away from what they thought was a huge cannon. The Sky People are disappointed that they were not able to give them their gift and that they were not able to express their gratitude, although Aisa says that she was able to thank them before they left.
Meanwhile in Upper Yard, Wyper declares that while their ancient duty as Shandorians has already been fulfilled, the fire of Shandora will never die. The Shandorian Chief asks Gan Fall to reprise his role as their leader. He initially declines this request since he still has to fulfill his duty as Sky Knight, but the Chief argues that their land no longer has any use for that role. He continues to say that what they need, instead, is someone who is kind and just who can govern their land, and that duty is best suited for him. Gan Fall suggests that the Shandorian Chief lead the Sky People since Shandora originally belonged to the Shandorians. The Chief says that that means nothing now, and that Vearth should be shared among all the peoples in Sky Island, and that he is the best person who can lead them. All of the Sky People then cry out for him to be their leader, which he then accepts.
The Straw Hats are sailing across the White-White Sea towards Cloud End, preparing to leave Sky Island. They are escorted by Pagaya, Conis and Su on their waver. They reach Cloud End and start descending the Milky Road which will lead them to the Blue Sea. As they freefall back to the Blue Sea, Conis summons an Octopus Balloon to soften their landing. It grabs onto the Going Merry and stops their freefall. It is then that the Sky People ring the Golden Bell so that their departing heroes know how much they are appreciated and are welcome back anytime.
Back on Jaya, Cricket tells the Saruyama Alliance that he is calling off the search for the City of Gold since they have confirmed that it has been in the sky the whole time. He thanks them for believing in his dream and that he has decided to leave the island. The Masira and Shoujou ask if he's leaving the alliance, to which he answers them with a question of which dream were they going to pursue next, implying that he wasn't leaving them.
On the Going Merry, Luffy, Sanji, Usopp and Chopper discuss what they were going to do with the treasure they found in Shandora. Nami tells them they can't buy everything they want because they'll end up broke and that they have to ensure to land safely first. Robin calls Nami's attention and asks her where they are headed. Nami realizes that they have been blown off-course by an air current, and that because of the Octopus, they are unable to use the sails to control the ship.
The descent taking longer than expected, the crew grows bored and Luffy decides to hop on top of the Octopus and jump around its head like a trampoline. Sanji notices that the Octopus is shrinking so he tries to stop Luffy from playing. Unfortunately, the Octopus loses air, and they start to freefall towards the sea. To stop them from falling, Usopp goes to the bottom of their ship and attaches breathe dials to help the ship float. The ship slows down momentarily, however, the Octopus loses all of its air, and the ship comes crashing down and lands onto the sea. Surprisingly, the ship survives the fall. After they land, they hear sirens and see spotlights trained on the Merry.","Tony Tony Chopper, Usopp, Sanji, Nico Robin, Roronoa Zoro, Monkey D. Luffy, Nami, Conis, Su, Shandia Chief, Gan Fall, Pierre, Aisa, Raki, Kamakiri, Braham, Genbo, Wyper, Kalgara (statue), Pandaman, McKinley, Pagaya, Nola, Shoujou, Masira, Mont Blanc Cricket, Mont Blanc Noland (picture)",
Episode 196,Emergency Official Announcement! Notorious Pirate Ship Infiltration!,20-Jun-04,The Marines are convinced the Going Merry is a ghost ship after it crashes inside their fortress from above. The crew members are scattered around the premises.,"To open Marines are heard singing 'I don't know but I've been told' while patrolling on a bridge. One of them says that he has heard a rumor about how other marines think that their base has gotten soft because they haven't seen action. Another vehemently argued that that is not true.
Meanwhile a damaged marine warship was being fixed at a dock where workers were complaining that the ship would take a week to fix while another states that they had 3 days. In the background Mekao is seen drinking, muttering that in the old days people used to treat their ships with respect. He then gasped and dropped his bottle as he saw the Going Merry falling from the sky and shouted for everyone to look.
The ship is shown falling and Marines sounded the alarm saying that they are under attack from the sky. The Marines then get to their stations and then see the Going Merry and associate it with the Straw Hat Pirates.
A lower ranking marine then goes and tells Lt. Commander Drake that pirates have invaded. He asks where Comm. Jonathan is, to which he replies he doesn't know.
Jonathan was then shown fishing Usopps's sniper goggles out of the water as he stared at the Going Merry while the Marines tell the Straw hats that resistance is futile and they can't escape.
In the kitchen, two cooks were talking about the commotion outside and get slapped with a ladle by the head chef Jessica who yelled at them for wasting time that they could be spent on preparing food for the soldiers at the base.
Jonathan was then shown walking into his office where Drake was waiting for him. Drake asked where he had been as Jonathan threw his fishing rod and hat into Drake's arms saying he didn't catch anything. Drake begins to tell him if he is absent all the time it causes problems, but was stopped by Jonathan. A marine comes to report that all the eyewitnesses claim they saw a ghost and that the ship must be a ghost ship. Drake berated the marine to report something of significance and to only come back with something useful.
The Marines started investigating the ship and Jonathan noticed odd things for a 'ghost ship' such as the tea being set out and the books being well kept. Then a marine informs him of treasure that they had found on board. A south bird makes its eerie noise to which Jonathan tells people to calm down as it is just a silly looking bird, to which the bird attacks him and flies away. He told his men to keep up the good work and to continue investigating the 'ghost ship'.
Jonathan, walking with other higher ranked marines, begins to connect the dots about the coffee flavor and color being similar to Jaya coffee, the gold on the ship and the legend of a gold city on Jaya, along with the South Bird saying that its not a ghost ship and that the other men were 'too green' to deal with the situation so he kept up the ghost ship idea. Drake offered to start a searching party which Jonathan immediately shuts down and says to begin searching at first light and warned them to check everyone as they could camouflage themselves to look like marines.
Chopper is shown hiding behind a tree wondering where everyone is. Zoro surfaces in the water and dodges an oncoming ship, while Nami is shown hiding her waver in a field of tall grass. Sanji, hiding in a tree, hopes that Nami and Robin are okay when a patrolling marine shoots at him, claiming he saw a light. As they walk away Sanji got mad saying he can't even smoke in peace to himself. Luffy is seen trying to pick a passage that will lead him to meat wishing he had Chopper with him to smell it for him. Usopp and Robin are shown together as Usopp finds his googles. Robin uses her Devil Fruit to spy on the marines who are talking about the ship being a ghost ship and how the gold must be cursed.
Jonathan, reclining in his office, is seen thinking about who is on board and what jobs they have.
Chopper, to get away from Marines, throws trash out a window to distract them. Nami is wondering where they landed and Robin tells Usopp the main priority is to find out how to escape. Luffy is then shown literally shadowing a marine while Sanji thinks about how stupid he is being and how he never takes things seriously.
To end Jonathan is shown wondering why the Straw Hats are at the base and that he will just have to wait and see.","Jonathan, Mekao, Drake, Shinpachi, Billy, Jessica, Tom, Tony Tony Chopper, Roronoa Zoro, Nami, Sanji, Monkey D. Luffy, Usopp, Nico Robin",
Episode 197,Sanji the Cook! Showing His Real Worth at the Marine Dining-room!,4-Jul-04,"In disguise, Sanji shows the Marine chefs the proper way to prepare a decent meal.","The following morning Going Merry is brought in an officine of the base to be further investigated. Suddenly two marine ships reach the G-8 base and ask to enter to heal wounded people on board. Jonathan allows it.
Nami wanders in the base disguised as a marine. She finds Zoro who is walking with no destination and without doing anything to hide. Nami, then, takes his swords and throws them on a bush difficult to reach, just to make him busy and stopping him. Sanji and Luffy disguise themselves as marine cooks and enter in the kitchen. There they are mistaken for the two new cooks arrived from the headquarters, while the two real cooks have been confused by Nami's instructions. The two men are welcomed coldly by Jessica, the head chef, who wants to check what they can do. Sanji shows his ability, higher that the real cooks', while Luffy only eats what was already prepared. Both of them are accepted as the new cooks.
Meanwhile Zoro reaches his swords, but he falls into the sea. When he comes out, he finds himself surrounded by marines that capture him.","Sanji, Monkey D. Luffy, Jonathan, Drake, Roronoa Zoro, Nami, Marley Brothers, Billy, Shinpachi, Tom, Jessica",
Episode 198,Zoro's imprisonment and Chopper's Emergency Operation!,11-Jul-04,Zoro is taken as prisoner while Chopper and Nami assist a nervous doctor in treating injured Marines.,"Vice Admiral Jonathan, wonders in his office as to the locations of the rest of the Straw Hats and gives Lieutenant Commander Drake a direct order to interrogate Zoro. In the cells, Zoro was about to take a nap when Drake shows up and demands for Zoro's guards to open the cell. Drake begins asking questions as to how many of the crew there are, how did they infiltrate the stronghold and such. Zoro truthfully replies that they came from heaven via an octopus balloon. Drake does not believe him and warns him not to underestimate the marines.
Meanwhile, Nami is assigned by the boss of the janitors to clean the dojo, and Chopper overhears that Zoro has been captured. Some Marines find him, and they run past the closet that Nami hides in. Chopper reaches a locked door but breaks the lock and manages to hide behind a crate full of deer antlers. Some doctors carry the crate outside with Chopper trapped inside. He is carried to the medical room, which is staffed with a single, inexperienced doctor. Outside, Nami is now dressed in a nurse uniform that she found in the closet. Several nurses run past, and drags Nami to the infirmary, stating that it was an emergency. Chopper realizes that he in in the infirmary, and wonders if the doctor is going to be okay.
Nami is assigned with the task of treating the Marines' wounds. On the other side of the room, Dr. Kobato faints at the sight of blood. Chopper decides to take the doctor's place and directs the treatment, wearing disguises. He meets up with Nami and asks what she is doing. Kobato wakes up then collapses again at the thought of operations. She revealed that she cannot bear the sight of suffering or wounded people, but Chopper encourages her to save the wounded. She stands up and makes her way to the operating room. Nami tries to persuade Chopper to escape while they can, but he says that his number one priority is to save people. The three of them proceeds to operate on the patients.
Meanwhile, Drake is notified that an unidentified doctor is performing surgeries. He suspects that it is one of the Straw Hat pirates, and Zoro thinks that it is Chopper. Drake proceeds to the operating room and demands to ask Dr. Kobato a few questions. She in turn demands that he leaves after saying that the only people in the room were ones who dedicated their lives to saving people. He complies but orders the guards to watch the room. They finish the operations, and Chopper shrinks down to his usual size. However, Dr. Kobato is oblivious to this.
In the kitchen, Sanji is wondering how to escape. He states that the reason they were stuck there was because of Luffy not doing anything. Jessica arrives and asks if he is finished with the onions yet and wants them to cut to the next three hundred onions. Sanji immediately complies, and Luffy realizes that Sanji was the reason they were stuck.","Jonathan, Drake, Roronoa Zoro, Nami, Tony Tony Chopper, Kobato, Sanji, Monkey D. Luffy, Jessica",
Episode 199,"The Search of the Approaching Marines!
The Second Person Who Was Captured!",18-Jul-04,"Robin and Usopp both disguise themselves as the same visiting inspector, and Usopp is thrown in the brig with Zoro. Luffy and Sanji are discovered by Johnathan after a slight mishap.","Robin and Usopp discover that the Going Merry has been moved. Robin suggests to keep calm and to think about an escape plan, but Usopp prefers to start to look for his beloved ship. Robin approaches the Stan Maley and notices an officer that is walking alone saying that he's a general inspector. She attacks him and defeats him, then she takes his clothes and disguises to be able to walk around the base.
Luffy, as a waiter, gives vice admiral Jonathan his lunch, but he's immediately discovered. Sanji tries to save him but they're surrounded by cooks. Luckily a hundred marines enter in the kitchen in that moment and the two pirates can run away in the crowd without being arrested.
Usopp disguises as a chore boy, arrives where the Merry is hold and meets shipwright Mekao, but he's suddenly arrested and brought in front of Jonathan. The commander starts to think that he may be the new inspector from the headquarters and Usopp confirms his beliefs. His lies however last for a little time because Robin enters in the room and pretends to be the real inspector. Usopp is then put in the same cage of Zoro.
Robin takes a map of the base and discovers that it exists only an access for the ships. Luffy and Sanji, instead, try to reach the jail to free their friends.","Nico Robin, Usopp, Shepherd, Sanji, Jessica, Jonathan, Monkey D. Luffy, Shinpachi, Mekao, Drake, Roronoa Zoro",
Episode 200,Luffy and Sanji's Desperate Decision! Large Rescue Maneuvers!,8-Aug-04,"The real Inspector Shepherd is thrown in the brig with Zoro and Usopp, while Sanji and Luffy race to rescue the two while avoiding detection.","At the Going Merry, Shipwright Mekao inspects the ship with interest, whilst other Marines laugh at the pirates stupidity in coming back to their ship, saying there are better ones in the bay they could steal. Meanwhile, Luffy and Sanji sneak around the base, attempting to find the jail where Zoro and Usopp are being held. However, neither of them know where the jail is, thus they assume it is in the suspicious looking island surrounded by water. Major Sheppard is captured by the marines and held in the same cell as the Straw Hat Crew, as Robin stole his uniform previously and the Marine mistook him for an intruder. Usopp takes the chance to pretend he is their comrade, assuring the marines won't let him out.
Robin is in the library searching for a way out of the base, noticing that the Marines are watching her closely. Vice Admiral Jonathan decides that they will have to lead the Straw Hats to the prison in order to capture them. Later, Shipwright Mekao talks to Usopp in the prison, telling him the repairs he did to the Going Merry weren't good enough, and that sooner or later the mast would snap. They talk about the Straw Hat's time in Skypiea, much to Lieutenant Commander Drake's annoyance. However, the Marines force Mekao out after he tells Usopp he might know who mysteriously fixed the Going Merry in Skypiea.
Meanwhile, Luffy and Sanji attempt to infiltrate the prison, concerned about how deserted the path was. They race down, despite the obvious trap. Luffy discovers the bars are made out of Seastone, whist Sanji attempts to kick down the bars, also discovering that they are practically unbreakable. However, Sanji takes Usopp's impact dial, only to find out it's the voice dial instead. He tries Usopp's other pocket, only for it to be the flavor dial. The gas sets off an explosion, and the Straw Hat's escape only to get lost while following Zoro.","Mekao, Sanji, Monkey D. Luffy, Shepherd, Nico Robin, Usopp, Roronoa Zoro, Jonathan, Drake",
Episode 201,"Hot Blood Special Unit Participation!
Bridge Offensive and Defensive Battle!",5-Sep-04,"After freeing Usopp and Zoro, Sanji and Luffy try to escape Navarone Island. As the Burning Soul combat unit is deployed, Dr. Kobato leads Nami and Chopper to the docks.","After Sanji and Luffy free Usopp and Zoro from the prison cell, Shepherd, who the Marines know as Condoriano, is left behind. Shepherd tries to convince them that he is not Condoriano, but instead an inspector from Marine Headquarters. The guards, however, refuse to believe him and take him away.
Meanwhile, Luffy's group is running around the base, being chased by Marines. In trying to escape, they end up in what seems like a dead-end at the side of the mountain and meet Vice Admiral Jonathan, who happened to be at the balcony of his office. Luffy tells Jonathan that he has freed his crewmates and declares that they were going to escape the base. This makes Jonathan laugh, asking him if he really thinks he can escape Navarone Island with their treasure, to which Luffy replies that they are pirates and that the Marines can't catch them. Suddenly a huge cannon is fires at Luffy's group, and they run back inside the base.
Instead of going in hot pursuit of the Straw Hats, Jonathan decides to set a trap for them in Dock 88, where the Going Merry is moored, as he knows this is where they will surely go. He tasks Lieutenant Commander Drake to set up the ambush in Dock 88 and since it will take Drake some time to arrive at said dock, he orders Unit 55 to slow the Straw Hats down to stall for time. He stations them at the bridge which is the only way to get to the ship.
Meanwhile, in the base clinic, an alarm can be heard. Nami and Chopper overhear a guard informing Dr. Kobato that they were in Code Red due to a jailbreak. Nami is worried since she and Chopper were still separated from the Crew. They deduce that Luffy must have rescued Zoro and Usopp and that they are probably on their way to the Merry. They decide that they have to get out of the clinic to meet up with the rest of the Crew.
Before Nami and Chopper can leave, the guard tells Dr. Kobato that one of the pirates have disguised themselves as a doctor. She panics and locks the door to her clinic. She does not realize that the pirates being pertained to are Nami and Chopper and is worried for their safety. However, the two inform her that they are the pirates and that they need her to tell them the location of the dock where their ship is. Dr. Kobato, terrified, screams and then faints which causes the guards to break down the door and rush inside. Improvising, Nami pretends to have also been attacked and lies down next to the doctor, all tied up, while Chopper hides. Nami tells the guards that ""the pirates"" have escaped through the air ducts.
When Dr. Kobato regains consciousness, she tries to scream, but Nami calms her down. Chopper and Nami are about to leave, when Dr. Kobato tells them that even though they are pirates, they were the ones who helped her see what it truly means to be a doctor and that she wants to help them find their ship. Chopper is worried that they might get her in trouble for helping pirates, so she tells them that if they get caught, she will just pretend to be a hostage. Since her father works at the docks, Dr. Kobato is able to determine where their ship might be.
Meanwhile, Luffy's group arrives at the bridge leading to Dock 88. Seeing that the bridge is unguarded, they gather that it must be a trap. They decide that they don't care and go ahead and cross it. Unit 55 block their path and have them surrounded from all sides. Luffy's group easily defeats them but, in the process, Luffy destroys the bridge, and they all fall into the bay. Even with the damage caused, Jonathan in pleased with the result since it bought them the time they needed to set up the ambush in Dock 88. Luffy's group heads to the dock, straight into the trap, seemingly cornered. Luffy is shot with a Seastone net and is incapacitated. Just then, Nami and Dr. Kobato also arrive pushing a hospital bed, with Chopper hidden in the sheets pretending to be a patient.","Monkey D. Luffy, Sanji, Roronoa Zoro, Usopp, Shepherd, Drake, Jonathan, Kobato, Nami, Tony Tony Chopper",
Episode 202,Breaking Through the Siege! The Going Merry is Recovered!,12-Sep-04,"The crew meets at the docks and are surrounded by Marines. Using Nami as their fake hostage, they trick the Marines into letting them back on the Going Merry.","The episode starts with the events prior to the arrival of Nami's group into Dock 88. Drake's men bombard Luffy's group with gun fire but he easily repels the bullets using his Devil Fruit powers. The Marines resort to using what seem like bazookas seeing that their guns are ineffective. They have fired instead, flash bombs to subdue the pirates which stings their eyes. Drake then has his Sword Unit attack the Straw Hats as they are still trying to recover from the effects of the flash bomb. The Crew are able to fight off the attacks. Luffy is then shot with a Seastone net and is instantly incapacitated. Drake demands that they surrender and tells them that while their Marine base policy is to take prisoners alive, he will not hesitate to change this policy if he is met with any resistance. With Luffy in a weakened state, Sanji, Zoro and Usopp seem to be unable to resist the overwhelming number of the Marines in the dock and consider surrendering.
Just as the Marines are about to capture them, Nami and Dr. Kobato, with Chopper still hidden under the sheets of the hospital bed, arrive at the dock. The Marines notice that Dr. Kobato is with the pirates and hesitate to attack, asking those who just arrived to identify themselves. Dr. Kobato then pretends to be a hostage and screams in feigned terror. She hints at Nami of her plan and in turn, Nami also pretends to be a nurse held hostage by Chopper, now in his Heavy Point form. Chopper acts like a tough and ruthless pirate and demands that the Marines stand down and let them board their ship.
Drake gives in and orders his men to stand down in return for the release of the ""hostages."" Zoro releases Luffy from the Seastone net but Luffy remains weak. Mekao, Dr. Kobato's father, watches as this is going on. He says that while he isn't too worried about his daughter being with the pirates since he can tell if she really is upset, he is still worried that the Marines may inadvertently hurt her.
Drake ""accommodates"" the Straw Hats and lets them board their ship, but Zoro senses another trap. He silently tells Luffy to sling them to their ship on his signal. A Marine covertly rescues Dr. Kobato and another also tries to rescue Nami, but she punches the Marine. This was their signal to rush towards the ship. Luffy slings the Crew onto the Merry. Mekao, with the safety of his daughter in mind, aides the pirates in their escape by releasing the Going Merry from the dock into the bay. Thinking that the Straw Hats are holding the ""nurse"" Nami as hostage, Drake orders them not to shoot at them, but instead to just give them warning shots. As the ship sails away, the Marines scope out the ship and notice Nami giving the crew orders and is in being held hostage. They realize that she is actually part of the Straw Hats.
Inside the base, Robin is leaving the library, as she is finished researching about the base, when she is stopped by marines. She subdues them and then makes her escape to the ship. She swings from the base onto the Merry and the Crew is finally reunited. She gives Nami a map of Navarone Island which she obtained in the library.
The Marines start shooting cannons at the Merry and start giving chase using warships. Nami refers to the map and sees the only way out of the base is the Sea Gate, to which they head. She notices that the water is too shallow and that the map doesn't make sense. They head to the Sea Gate anyway and try to think of a plan to open the gate. The Marines continue their barrage on the Merry while the Straw Hats don't have a way to retaliate since the Marines have confiscated all their cannon balls. Luffy devises a plan and catches all the cannon balls shot at them with his Gomu Gomu no Fusen ability and redirects them towards the gate. Just as the gate explodes, Nami realizes that if the Marines took all their cannon balls, they must have also taken the treasure they found on Skypiea.","Roronoa Zoro, Usopp, Monkey D. Luffy, Sanji, Drake, Mekao, Kobato, Nami, Tony Tony Chopper, Jessica, Shinpachi, Tom, Billy, Marley Brothers, Nico Robin, Jonathan",
Episode 203,The Missing Pirate Ship! 2nd Round Assault on the Fortress,19-Sep-04,"The crew disguises the Going Merry as a Marine ship so they can get their treasure back. With the gold, they decide they’ll hire a shipwright.",,"Drake, Monkey D. Luffy, Nami, Roronoa Zoro, Usopp, Sanji, Tony Tony Chopper, Nico Robin, Jonathan, Shepherd, Shinpachi, Jessica, Billy, Tom, Merry (flashback), Bell-mère (flashback)",
Episode 204,The Gold Recovery Plan and the Waver Recovery Plan!,3-Oct-04,Usopp splits up the crew into two teams: the gold retrieval team and the waver retrieval team. Inspector Shepherd decides to catch Luffy on his own.,,"Monkey D. Luffy, Usopp, Nami, Roronoa Zoro, Sanji, Tony Tony Chopper, Nico Robin, Jonathan, Shinpachi, Drake, Shepherd",
Episode 205,Catch Them All in One Net! Jonathan's Secret Scheme!,3-Oct-04,"Sanji, Zoro, Usopp, and Robin continue to search for their treasure. Luffy leads Nami to the captain’s quarters where they retrieve their gold.","Nami and Sanji finally find the Waver in a patch of grass. Meanwhile, Shepherd finds Luffy, Robin, Usopp and Zoro at the vault. He shows that he has an extremely large bazooka. However, he is easily defeated by Robin, who uses her Devil Fruit power to point the bazooka at the ground and fire it, launching it into the air. The Straw Hats escape the vault.
Meanwhile, Nami drops off Sanji at the ship before pursuing the Straw Hats herself. She overhears Marines discussing how the Straw Hats have fled towards the mountains.
The Straw Hats ask Kobato and Mekao where the gold is stored. Mekao points them to a cliff face and says that the treasure was likely at the top. However, Mekao also warns that Jonathan would very likely use the gold to bait the Straw Hats into a trap.
At the top of the cliff, Nami joins the others by riding the Waver up the cliff. They deduce that the only way for Jonathan to be able to trap them is if he placed the gold near his office. So, Luffy and Nami head towards Jonathan's office, while the others go to the edge of the water for Sanji to pick them up.
Luffy and Nami manage to find the window of Jonathan's office and break in. Jonathan, who was waiting in there the whole time, is surprised. The gold is in his office. Luffy takes the gold, but reinforcements arrive, and he is captured in the seastone net. However, because the Marines were using guns, Nami defeats all the Marines by using the Clima-Tact to create lightning. They take the gold and escape.
Nami and Luffy are picked up by the Going Merry, which has been disguised as a Marine ship. Meanwhile, Shepherd mocks Jonathan for letting the Straw Hats escape. He then orders the Marines to intercept the Straw Hats at the gate. The Marines then notice that one of the Marine ships was really the Going Merry. The Straw Hats ""thank"" the Marines for showing them where the gate was. Meanwhile, Jonathan tells Shepherd that the Straw Hat pirates fell into his ""ultimate trap.""","Nami, Sanji, Usopp, Nico Robin, Monkey D. Luffy, Roronoa Zoro, Shepherd, Tony Tony Chopper, Kobato, Mekao, Jonathan",
Episode 206,"So Long, Marine Base! The Final Battle for Freedom",10-Oct-04,"The Going Merry is grounded during a period of low tide and Jonathan believes they’ve reached ""checkmate"". They cleverly use the Impact Dial to boost the ship and the Breath and Flame Dials to inflate the Octopus Balloon again so they can escape.","Vice Admiral Jonathan puts into action his ""9 o'clock"" trap; during 9 o'clock, the base can use periods of low tide to prevent the ships from escaping. So, when Luffy commands the ship to go full speed ahead, a hole was torn in the hull by the rocks on the harbor floor.
The harbor eventually reaches a very low tide, rendering the ship unable to move. Jonathan gloats via megaphone how he had captured the Straw Hat Pirates.
So, the Straw Hat Pirates launch their plan; they use Usopp's Impact Dial to launch the ship into the air, then uses an Octopus Balloon inflated with Breath and Flame Dials to float in the air. Jonathan orders his men to fire a ""warning shot"" at the balloon. However, Shepherd also aims for the balloon with his bazooka, only to instead miss and shoot down the Marines' cannon.
Jonathan accepts that the Straw Hat Pirates have won, and that they have successfully escaped G-8. He commands Drake to ceasefire. Shepherd, who is angry that the Straw Hats escaped, threatens to have G-8 decommissioned, but is punched by Jessica. Jonathan explains that the pirate encounter was a bonding experience for the Marines, so he is not upset that the pirates escaped.
Meanwhile, the Straw Hats are seen flying towards the sunset. Usopp works on fixing the hole.","Shepherd, Jonathan, Roronoa Zoro, Usopp, Nami, Tony Tony Chopper, Nico Robin, Sanji, Monkey D. Luffy, Billy, Tom, Shinpachi, Mekao, Kobato, Jessica",
Episode 207,Long Ring Long Land's Big Adventure!,31-Oct-04,"The Straw Hat Pirates come across a mysterious pirate ship, after trying to escape a giant wave. Soon, they arrive on an island inhabited by strange animals. Going Merry is captured by the Foxy Pirates.","After escaping from G-8 the Straw Hat Pirates land in the sea softly and continue their voyage. In Mock Town, Donquixote Doflamingo perches from a column and uses his powers on Bellamy and Sarquiss as punishment for being defeated by Luffy prior to his journey to Skypiea. Bellamy begs Doflamingo to give him another chance, but Doflamingo concludes that Bellamy and his crew are obsolete to him and uses his puppetry to force Sarquiss to slash Bellamy, although he survives. In the seas the Straw Hats notice a ship lacking its sails without its captain or navigator. The ship then sails into a giant wave which destroys the ship. The crew then come across Long Ring Long Land, however it is too plain for their (particularly Sanji's) tastes. Luffy, Usopp and Chopper immediately de-board and start to act childish as usual and explore the island. The trio see long animals and come across two tall bamboos whose top couldn't be seen. Suddenly the bamboos start moving and one hits Luffy. Luffy gets excited and breaks the bamboo. Then falls an old man named Tonjit who has a horse named Shelly. Tonjit says that he made the world's tallest stilts and after going up, he couldn't come down for 10 years due to fear. Tonjit explains that due to expanse grassland, everyone here is relaxed making them long. After roaming around Long Ring Long Land the damaged Going Merry is seized by another ship as its captain confronts the crew and challenges them to a Davy Back Fight.","Monkey D. Luffy, Roronoa Zoro, Nico Robin, Nami, Sanji, Usopp, Tony Tony Chopper, Bellamy, Sarquiss, Bellamy Pirates, Muret, Rivers, Eddy, Lily, Ross, Donquixote Doflamingo, Hewitt, Shelly, Tonjit, Foxy (unclearly seen), Porche (silhouette), Hamburg (silhouette)",
Episode 208,The Foxy Pirate Crew and the Davy Back!,7-Nov-04,"After Tonjit reunites with his horse, they are soon attacked by Captain Foxy and his subordinates, who challenge Luffy to a Davy Back Fight, a contest of pirates where the stakes are members of the crew.",,"Tonjit, Monkey D. Luffy, Tony Tony Chopper, Usopp, Shelly, Rittonto (flashback), Foxy, Porche, Hamburg, Nami, Roronoa Zoro, Nico Robin, Sanji, Kibagaeru",
